reaction,FBAmodel,background_conc,system_volume
EX_tma__e_f,iML1515,1000,1
EX_fruur__e_f,iML1515,1000,1
EX_malttr__e_f,iML1515,1000,1
EX_cbi__e_f,iML1515,1000,1
EX_arbtn__fe3__e_f,iML1515,1000,1
EX_cpgn__e_f,iML1515,1000,1
EX_ch4__e_f,iML1515,1000,1
EX_adocbl__e_f,iML1515,1000,1
EX_ppa__e_f,iML1515,1000,1
EX_ni2__e_f,iML1515,1000,1
EX_ni2__e_r,iML1515,1000,1
EX_no__e_f,iML1515,1000,1
EX_fad__e_f,iML1515,1000,1
EX_meoh__e_f,iML1515,1000,1
EX_fe3dcit__e_f,iML1515,1000,1
EX_fe3hox__e_f,iML1515,1000,1
EX_fecrm__e_f,iML1515,1000,1
EX_feenter__e_f,iML1515,1000,1
EX_feoxam__e_f,iML1515,1000,1
EX_3amp__e_f,iML1515,1000,1
EX_3gmp__e_f,iML1515,1000,1
EX_3ump__e_f,iML1515,1000,1
EX_cu2__e_f,iML1515,1000,1
EX_cu2__e_r,iML1515,1000,1
EX_glyc____R__e_f,iML1515,1000,1
EX_eca4colipa__e_f,iML1515,1000,1
EX_mal____D__e_f,iML1515,1000,1
EX_sel__e_f,iML1515,1000,1
EX_sel__e_r,iML1515,1000,1
EX_hg2__e_f,iML1515,1000,1
EX_cobalt2__e_f,iML1515,1000,1
EX_cobalt2__e_r,iML1515,1000,1
EX_pheme__e_f,iML1515,1000,1
EX_mso3__e_f,iML1515,1000,1
EX_23camp__e_f,iML1515,1000,1
EX_23cgmp__e_f,iML1515,1000,1
EX_23cump__e_f,iML1515,1000,1
EX_sulfac__e_f,iML1515,1000,1
EX_butso3__e_f,iML1515,1000,1
EX_ethso3__e_f,iML1515,1000,1
EX_tym__e_f,iML1515,1000,1
EX_imp__e_f,iML1515,1000,1
EX_fe3hox__un__e_f,iML1515,1000,1
EX_23dappa__e_f,iML1515,1000,1
EX_cd2__e_f,iML1515,1000,1
EX_enter__e_f,iML1515,1000,1
EX_fecrm__un__e_f,iML1515,1000,1
EX_cgly__e_f,iML1515,1000,1
EX_chtbs__e_f,iML1515,1000,1
EX_gmp__e_f,iML1515,1000,1
EX_h2o2__e_f,iML1515,1000,1
EX_ump__e_f,iML1515,1000,1
EX_pydam__e_f,iML1515,1000,1
EX_frulys__e_f,iML1515,1000,1
EX_enlipa__e_f,iML1515,1000,1
EX_hacolipa__e_f,iML1515,1000,1
EX_etha__e_f,iML1515,1000,1
EX_hdca__e_f,iML1515,1000,1
EX_glcr__e_f,iML1515,1000,1
EX_h2o__e_f,iML1515,1000,1
EX_h2o__e_r,iML1515,1000,1
EX_ala____D__e_f,iML1515,1000,1
EX_mnl__e_f,iML1515,1000,1
EX_malt__e_f,iML1515,1000,1
EX_pnto____R__e_f,iML1515,1000,1
EX_asn____L__e_f,iML1515,1000,1
EX_cit__e_f,iML1515,1000,1
EX_mal____L__e_f,iML1515,1000,1
EX_no2__e_f,iML1515,1000,1
EX_gam__e_f,iML1515,1000,1
EX_inost__e_f,iML1515,1000,1
EX_mobd__e_f,iML1515,1000,1
EX_mobd__e_r,iML1515,1000,1
EX_so4__e_f,iML1515,1000,1
EX_so4__e_r,iML1515,1000,1
EX_phe____L__e_f,iML1515,1000,1
EX_thr____L__e_f,iML1515,1000,1
EX_uri__e_f,iML1515,1000,1
EX_nh4__e_f,iML1515,1000,1
EX_nh4__e_r,iML1515,1000,1
EX_ddca__e_f,iML1515,1000,1
EX_r5p__e_f,iML1515,1000,1
EX_glyc2p__e_f,iML1515,1000,1
EX_halipa__e_f,iML1515,1000,1
EX_cmp__e_f,iML1515,1000,1
EX_malthx__e_f,iML1515,1000,1
EX_csn__e_f,iML1515,1000,1
EX_etoh__e_f,iML1515,1000,1
EX_g3pe__e_f,iML1515,1000,1
EX_pacald__e_f,iML1515,1000,1
EX_his____L__e_f,iML1515,1000,1
EX_k__e_f,iML1515,1000,1
EX_k__e_r,iML1515,1000,1
EX_na1__e_f,iML1515,1000,1
EX_na1__e_r,iML1515,1000,1
EX_dmso__e_f,iML1515,1000,1
EX_12ppd____S__e_f,iML1515,1000,1
