transition,direction,place,multiplicity,command
EX_glc__D_e_in_cbd1,INPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_in_cbd1,INPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_in_cbd1,OUTPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_in_cbd1,OUTPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_out_cbd1,INPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_out_cbd1,INPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_out_cbd1,OUTPUT,glc__D_e,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_out_cbd1,OUTPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_glc__D_e_out_cbd1,OUTPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_glc__D_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_in_cbd1,INPUT,lcts_e,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_in_cbd1,INPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_in_cbd1,INPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_in_cbd1,OUTPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_in_cbd1,OUTPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_out_cbd1,INPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_out_cbd1,INPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_out_cbd1,OUTPUT,lcts_e,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_out_cbd1,OUTPUT,n_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_lcts_e_out_cbd1,OUTPUT,biomass_e_cbd1,1,"FBA[""cbd1_model.txt"",""EX_lcts_e"",1,""n_cbd1"",""biomass_e_cbd1""]"
EX_biomass_e_in_ecs,INPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_biomass_e"",1,""n_ecs"",""biomass_e_ecs"", ""true""]"
EX_biomass_e_out_ecs,INPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_biomass_e"",1,""n_ecs"",""biomass_e_ecs"", ""true""]"
EX_biomass_e_out_ecs,OUTPUT,biomass_e_ecs,2,"FBA[""ecs_model.txt"",""EX_biomass_e"",1,""n_ecs"",""biomass_e_ecs"", ""true""]"
EX_glc__D_e_in_ecs,INPUT,glc__D_e,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_in_ecs,INPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_in_ecs,INPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_in_ecs,OUTPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_in_ecs,OUTPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_out_ecs,INPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_out_ecs,INPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_out_ecs,OUTPUT,glc__D_e,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_out_ecs,OUTPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_glc__D_e_out_ecs,OUTPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_glc__D_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_in_ecs,INPUT,lcts_e,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_in_ecs,INPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_in_ecs,INPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_in_ecs,OUTPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_in_ecs,OUTPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_out_ecs,INPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_out_ecs,INPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_out_ecs,OUTPUT,lcts_e,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_out_ecs,OUTPUT,n_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
EX_lcts_e_out_ecs,OUTPUT,biomass_e_ecs,1,"FBA[""ecs_model.txt"",""EX_lcts_e"",1,""n_ecs"",""biomass_e_ecs""]"
