"abbreviation","type","subtype","lowbnd","uppbnd"
"ADOCBIK2","core","internal",0,1000
"ADOCBLS","core","internal",0,1000
"ADOCBLabc","core","internal",0,1000
"ADPT","core","internal",0,1000
"ADSL1r","core","internal",-1000,1000
"ADSL2r","core","internal",-1000,1000
"ADSS","core","internal",0,1000
"AEPPT","core","internal",0,1000
"AGDC","core","internal",0,1000
"AGMT","core","internal",0,1000
"AGPAT120","core","internal",0,1000
"AGPAT140","core","internal",0,1000
"AGPAT141","core","internal",0,1000
"AGPAT160","core","internal",0,1000
"AGPAT161","core","internal",0,1000
"AGPAT180","core","internal",0,1000
"AGPAT181","core","internal",0,1000
"AGPR","core","internal",-1000,1000
"AHC","core","internal",-1000,1000
"AHCYSNS_r","core","internal",-1000,1000
"AHMMPS","core","internal",0,1000
"AHSERL2","core","internal",0,1000
"AHSERL3","core","internal",-1000,1000
"AICART","core","internal",-1000,1000
"AIHDUDPMG","core","internal",-1000,1000
"AIHDUPDG","core","internal",-1000,1000
"AIHPDCOATA","core","internal",-1000,1000
"AIPDCOATA","core","internal",-1000,1000
"AIRC4","core","internal",0,1000
"AKP1","core","internal",0,1000
"ALAALA","core","internal",0,1000
"ALAASP1c","core","internal",-1000,1000
"ALAASPabc","core","internal",0,1000
"ALACI","core","internal",-1000,1000
"ALAGLN1c","core","internal",-1000,1000
"ALAGLNabc","core","internal",0,1000
"ALAGLU1c","core","internal",-1000,1000
"ALAGLUabc","core","internal",0,1000
"ALAGLY1c","core","internal",-1000,1000
"ALAGLYabc","core","internal",0,1000
"ALAHIS1c","core","internal",-1000,1000
"ALAHISabc","core","internal",0,1000
"ALALEU1c","core","internal",-1000,1000
"ALALEUabc","core","internal",0,1000
"ALAPGPL","core","internal",0,1000
"ALAR","core","internal",-1000,1000
"ALATA_D","core","internal",-1000,1000
"ALATHR1c","core","internal",-1000,1000
"ALATHRabc","core","internal",0,1000
"ALAt2r","core","internal",-1000,1000
"ALCD19","core","internal",-1000,1000
"ALCD2x","core","internal",-1000,1000
"ALDD2x","core","internal",0,1000
"ALKP","core","internal",0,1000
"ALKP_R788e","core","internal",0,1000
"ALLTN","core","internal",0,1000
"ALLTNt2r","core","internal",-1000,1000
"ALPHNH","core","internal",0,1000
"ALTRH","core","internal",0,1000
"AMAA","core","internal",0,1000
"AMALT1","core","internal",0,1000
"AMALT2","core","internal",0,1000
"AMALT3","core","internal",0,1000
"AMALT4","core","internal",0,1000
"AMANAPEr","core","internal",-1000,1000
"AMANK","core","internal",0,1000
"AMAOTr","core","internal",-1000,1000
"AMMQT8r","core","internal",-1000,1000
"AMPMS3","core","internal",0,1000
"AMPSO3OX","core","internal",-1000,1000
"AMPTASECG","core","internal",0,1000
"AMPTASEGC","core","internal",0,1000
"AMY1e","core","internal",0,1000
"AMY2e","core","internal",0,1000
"ANPRT","core","internal",0,1000
"ANS","core","internal",0,1000
"ANS2","core","internal",0,1000
"AOBUTDs","core","internal",0,1000
"AOXSr","core","internal",-1000,1000
"APAT","core","internal",-1000,1000
"APRAUR","core","internal",0,1000
"ARAI","core","internal",-1000,1000
"ARBTpts","core","internal",0,1000
"ARBabc","core","internal",0,1000
"ARGDA","core","internal",0,1000
"ARGDC","core","internal",0,1000
"ARGN","core","internal",0,1000
"ARGSL","core","internal",-1000,1000
"ARGSS","core","internal",0,1000
"ASAD","core","internal",-1000,1000
"ASCBPL","core","internal",0,1000
"ASNS1","core","internal",0,1000
"ASNS2","core","internal",0,1000
"ASNt2r","core","internal",-1000,1000
"ASP1DC","core","internal",0,1000
"ASPCT","core","internal",0,1000
"ASPKi","core","internal",0,1000
"ASPO1","core","internal",0,1000
"ASPO6","core","internal",0,1000
"ASPT","core","internal",0,1000
"ASPTA","core","internal",-1000,1000
"ATPPRT","core","internal",0,1000
"ATPS4","core","internal",0,1000
"BACCLi","core","internal",0,1000
"BETALDHx","core","internal",0,1000
"BETALDHy","core","internal",0,1000
"BGLA","core","internal",0,1000
"BGLA1","core","internal",0,1000
"BPNT","core","internal",0,1000
"BTCOADH","core","internal",-1000,1000
"BTDD_RR","core","internal",-1000,1000
"BTNCLi","core","internal",0,1000
"BTNabc","core","internal",0,1000
"BUP2","core","internal",0,1000
"BUTCTr","core","internal",-1000,1000
"BUTKr","core","internal",-1000,1000
"BUTSO3abc","core","internal",0,1000
"BUTt2r","core","internal",-1000,1000
"CADVt","core","internal",-1000,1000
"CAP_NR","core","internal",-1000,1000
"CAt4i","core","internal",0,1000
"CBIAT","core","internal",-1000,1000
"CBL1abc","core","internal",0,1000
"CBL2abc","core","internal",0,1000
"CBLAT","core","internal",-1000,1000
"CBPS","core","internal",0,1000
"CD2abc1","core","internal",0,1000
"CDPGHL","core","internal",0,1000
"CDPGLYCGPT","core","internal",-1000,1000
"CDPMEK","core","internal",0,1000
"CELBpts","core","internal",0,1000
"CGLYabc","core","internal",0,1000
"CHCOAL","core","internal",0,1000
"CHORM","core","internal",0,1000
"CHORS","core","internal",0,1000
"CHRPL","core","internal",0,1000
"CITRAMALS","core","internal",0,1000
"CLPNS140","core","internal",-1000,1000
"CLPNS160","core","internal",-1000,1000
"CLPNS180","core","internal",-1000,1000
"CLPNSAI15","core","internal",-1000,1000
"CLPNSAI17","core","internal",-1000,1000
"CLPNSI14","core","internal",-1000,1000
"CLPNSI15","core","internal",-1000,1000
"CLPNSI16","core","internal",-1000,1000
"CLPNSI17","core","internal",-1000,1000
"CMLDC","core","internal",0,1000
"CO2t","core","internal",-1000,1000
"COBALTt5","core","internal",-1000,1000
"CPC2MT","core","internal",0,1000
"CPC3MT","core","internal",0,1000
"CPC4MT","core","internal",0,1000
"CPC5MT","core","internal",0,1000
"CPC5MT2","core","internal",0,1000
"CPC6MT","core","internal",0,1000
"CPC6R","core","internal",0,1000
"CPC8MM","core","internal",-1000,1000
"CPPPGO","core","internal",0,1000
"CPPPGO2","core","internal",0,1000
"CRO4t3","core","internal",-1000,1000
"CS","core","internal",0,1000
"CSNt2","core","internal",0,1000
"CTPS1","core","internal",0,1000
"CTPS2","core","internal",0,1000
"CYRDAAT","core","internal",0,1000
"CYRDAS","core","internal",0,1000
"CYSDS","core","internal",0,1000
"CYSS","core","internal",0,1000
"CYSS3r","core","internal",-1000,1000
"CYSTGL","core","internal",0,1000
"CYSTL","core","internal",0,1000
"CYSTS","core","internal",0,1000
"CYSt2r","core","internal",-1000,1000
"CYTBD","core","internal",0,1000
"CYTD","core","internal",0,1000
"CYTDK1","core","internal",0,1000
"CYTDK2","core","internal",0,1000
"CYTDK3","core","internal",0,1000
"CYTDK4","core","internal",0,1000
"CYTDt2r","core","internal",-1000,1000
"CYTK1","core","internal",-1000,1000
"CYTK2","core","internal",-1000,1000
