"abbreviation","type","subtype","lowbnd","uppbnd"
"ACHBPL","core","internal",-1000,1000
"ACKr","core","internal",-1000,1000
"ACLS_a","core","internal",0,1000
"ACLS_b","core","internal",-1000,1000
"ACNAMabc","core","internal",0,1000
"ACNAMt2r","core","internal",-1000,1000
"ACNML","core","internal",0,1000
"ACOAAGPAT140","core","internal",0,1000
"ACOAAGPAT160","core","internal",0,1000
"ACOAAGPAT180","core","internal",0,1000
"ACOAAGPATAI15","core","internal",0,1000
"ACOAAGPATAI17","core","internal",0,1000
"ACOAAGPATI14","core","internal",0,1000
"ACOAAGPATI15","core","internal",0,1000
"ACOAAGPATI16","core","internal",0,1000
"ACOAAGPATI17","core","internal",0,1000
"ACOAD1","core","internal",-1000,1000
"ACOAD1fi","core","internal",0,1000
"ACOAD2","core","internal",-1000,1000
"ACOAD20","core","internal",0,1000
"ACOAD3rev","core","internal",0,1000
"ACOAD4rev","core","internal",0,1000
"ACOAD5rev","core","internal",0,1000
"ACOAD6rev","core","internal",0,1000
"ACOAD7i","core","internal",0,1000
"ACOATA","core","internal",-1000,1000
"ACOCT","core","internal",0,1000
"ACODAr","core","internal",-1000,1000
"ACONMT","core","internal",0,1000
"ACONT","core","internal",-1000,1000
"ACONTa","core","internal",-1000,1000
"ACONTb","core","internal",-1000,1000
"ACOTA","core","internal",-1000,1000
"ACPS1","core","internal",0,1000
"ACPpds","core","internal",0,1000
"ACS","core","internal",0,1000
"ACYP","core","internal",0,1000
"ACYP_2","core","internal",0,1000
"ACt2r","core","internal",-1000,1000
"ADA","core","internal",0,1000
"ADCL","core","internal",0,1000
"ADCS","core","internal",0,1000
"ADD","core","internal",0,1000
"ADK1","core","internal",-1000,1000
"ADK10","core","internal",-1000,1000
"ADK11","core","internal",-1000,1000
"ADK2","core","internal",-1000,1000
"ADK3","core","internal",-1000,1000
"ADK5","core","internal",-1000,1000
"ADK7","core","internal",-1000,1000
"ADK8","core","internal",-1000,1000
"ADK9","core","internal",-1000,1000
"ADMDCr","core","internal",-1000,1000
"ADNCNT3tc","core","internal",-1000,1000
"ADNCYC","core","internal",0,1000
"ADNUC","core","internal",0,1000
"ADOCBIK","core","internal",0,1000
"ADOCBIK2","core","internal",0,1000
"ADOCBLS","core","internal",0,1000
"ADOCBLabc","core","internal",0,1000
"ADPRDP","core","internal",0,1000
"ADPT","core","internal",0,1000
"ADSELK","core","internal",0,1000
"ADSK","core","internal",0,1000
"ADSL1r","core","internal",-1000,1000
"ADSL2r","core","internal",-1000,1000
"ADSS","core","internal",0,1000
"AGALASE_OGLYCAN10e","core","internal",0,1000
"AGALASE_OGLYCAN11e","core","internal",0,1000
"AGALASE_OGLYCAN12e","core","internal",0,1000
"AGALASE_OGLYCAN13e","core","internal",0,1000
"AGALASE_OGLYCAN14e","core","internal",0,1000
"AGALASE_OGLYCAN15e","core","internal",0,1000
"AGALASE_OGLYCAN16e","core","internal",0,1000
"AGALASE_OGLYCAN17e","core","internal",0,1000
