transition,direction,place,multiplicity,command
Dup_crv0d1,OUTPUT,n_crv0d1,2,"Call[""Duplication"", FromTable[""population_parameters.csv"", 6, 1], 6]"
Dup_crv0d1,OUTPUT,biomass_e_crv0d1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 6, 1], 6]"
Death_crv0d1,INPUT,n_crv0d1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 6, 2], 6]"
Death_crv0d1,INPUT,biomass_e_crv0d1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 6, 2], 6]"
Death_crv0d1,OUTPUT,biomass_e_crv0d1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 6, 2], 6]"
Starv_lpspa1,INPUT,biomass_e_lpspa1,1,"Call[""Starvation"", FromTable[""population_parameters.csv"", 7, 0], 7]"
Dup_lpspa1,INPUT,n_lpspa1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 7, 1], 7]"
Dup_lpspa1,INPUT,biomass_e_lpspa1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 7, 1], 7]"
Dup_lpspa1,OUTPUT,n_lpspa1,2,"Call[""Duplication"", FromTable[""population_parameters.csv"", 7, 1], 7]"
Dup_lpspa1,OUTPUT,biomass_e_lpspa1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 7, 1], 7]"
Death_lpspa1,INPUT,n_lpspa1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 7, 2], 7]"
Death_lpspa1,INPUT,biomass_e_lpspa1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 7, 2], 7]"
Death_lpspa1,OUTPUT,biomass_e_lpspa1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 7, 2], 7]"
EX_ac_e_in_acd1,INPUT,ac_e,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_in_acd1,INPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_in_acd1,INPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_in_acd1,OUTPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_in_acd1,OUTPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_out_acd1,INPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_out_acd1,INPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_out_acd1,OUTPUT,ac_e,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_out_acd1,OUTPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_out_acd1,OUTPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_ac_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_biomass_e_in_acd1,INPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_biomass_e"",1,""n_acd1"",""biomass_e_acd1"", ""true""]"
EX_biomass_e_out_acd1,INPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_biomass_e"",1,""n_acd1"",""biomass_e_acd1"", ""true""]"
EX_biomass_e_out_acd1,OUTPUT,biomass_e_acd1,2,"FBA[""acd1_model.txt"",""EX_biomass_e"",1,""n_acd1"",""biomass_e_acd1"", ""true""]"
EX_but_e_in_acd1,INPUT,but_e,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_in_acd1,INPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_in_acd1,INPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_in_acd1,OUTPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_in_acd1,OUTPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_out_acd1,INPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_out_acd1,INPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_out_acd1,OUTPUT,but_e,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_out_acd1,OUTPUT,n_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_but_e_out_acd1,OUTPUT,biomass_e_acd1,1,"FBA[""acd1_model.txt"",""EX_but_e"",1,""n_acd1"",""biomass_e_acd1""]"
EX_ac_e_in_bln,INPUT,ac_e,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_in_bln,INPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_in_bln,INPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_in_bln,OUTPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_in_bln,OUTPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_out_bln,INPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_out_bln,INPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_out_bln,OUTPUT,ac_e,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_out_bln,OUTPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_out_bln,OUTPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_ac_e"",1,""n_bln"",""biomass_e_bln""]"
EX_biomass_e_in_bln,INPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_biomass_e"",1,""n_bln"",""biomass_e_bln"", ""true""]"
EX_biomass_e_out_bln,INPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_biomass_e"",1,""n_bln"",""biomass_e_bln"", ""true""]"
EX_biomass_e_out_bln,OUTPUT,biomass_e_bln,2,"FBA[""bln_model.txt"",""EX_biomass_e"",1,""n_bln"",""biomass_e_bln"", ""true""]"
EX_lcts_e_in_bln,INPUT,lcts_e,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_in_bln,INPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_in_bln,INPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_in_bln,OUTPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_in_bln,OUTPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_out_bln,INPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_out_bln,INPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_out_bln,OUTPUT,lcts_e,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_out_bln,OUTPUT,n_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_lcts_e_out_bln,OUTPUT,biomass_e_bln,1,"FBA[""bln_model.txt"",""EX_lcts_e"",1,""n_bln"",""biomass_e_bln""]"
EX_ac_e_in_bpd2,INPUT,ac_e,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_in_bpd2,INPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_in_bpd2,INPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_in_bpd2,OUTPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_in_bpd2,OUTPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_out_bpd2,INPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_out_bpd2,INPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_out_bpd2,OUTPUT,ac_e,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_out_bpd2,OUTPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_out_bpd2,OUTPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_ac_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_biomass_e_in_bpd2,INPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_biomass_e"",1,""n_bpd2"",""biomass_e_bpd2"", ""true""]"
EX_biomass_e_out_bpd2,INPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_biomass_e"",1,""n_bpd2"",""biomass_e_bpd2"", ""true""]"
EX_biomass_e_out_bpd2,OUTPUT,biomass_e_bpd2,2,"FBA[""bpd2_model.txt"",""EX_biomass_e"",1,""n_bpd2"",""biomass_e_bpd2"", ""true""]"
EX_lcts_e_in_bpd2,INPUT,lcts_e,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_in_bpd2,INPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_in_bpd2,INPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_in_bpd2,OUTPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_in_bpd2,OUTPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_out_bpd2,INPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_out_bpd2,INPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_out_bpd2,OUTPUT,lcts_e,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_out_bpd2,OUTPUT,n_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_lcts_e_out_bpd2,OUTPUT,biomass_e_bpd2,1,"FBA[""bpd2_model.txt"",""EX_lcts_e"",1,""n_bpd2"",""biomass_e_bpd2""]"
EX_ac_e_in_btv5,INPUT,ac_e,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_in_btv5,INPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_in_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_in_btv5,OUTPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_in_btv5,OUTPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_out_btv5,INPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_out_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_out_btv5,OUTPUT,ac_e,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_out_btv5,OUTPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ac_e_out_btv5,OUTPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ac_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_biomass_e_in_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_biomass_e"",1,""n_btv5"",""biomass_e_btv5"", ""true""]"
EX_biomass_e_out_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_biomass_e"",1,""n_btv5"",""biomass_e_btv5"", ""true""]"
EX_biomass_e_out_btv5,OUTPUT,biomass_e_btv5,2,"FBA[""btv5_model.txt"",""EX_biomass_e"",1,""n_btv5"",""biomass_e_btv5"", ""true""]"
EX_lcts_e_in_btv5,INPUT,lcts_e,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_in_btv5,INPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_in_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_in_btv5,OUTPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_in_btv5,OUTPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_out_btv5,INPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_out_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_out_btv5,OUTPUT,lcts_e,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_out_btv5,OUTPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_lcts_e_out_btv5,OUTPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_lcts_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_in_btv5,INPUT,ppa_e,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_in_btv5,INPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_in_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_in_btv5,OUTPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_in_btv5,OUTPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_out_btv5,INPUT,n_btv5,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_out_btv5,INPUT,biomass_e_btv5,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
EX_ppa_e_out_btv5,OUTPUT,ppa_e,1,"FBA[""btv5_model.txt"",""EX_ppa_e"",1,""n_btv5"",""biomass_e_btv5""]"
