reaction,lb,ub
AGALASE_OGLYCAN28e,0,1000
AGALASE_OGLYCAN29e,0,1000
AGALASE_OGLYCAN2e,0,1000
AGALASE_OGLYCAN30e,0,1000
AGALASE_OGLYCAN31e,0,1000
AGALASE_OGLYCAN32e,0,1000
AGALASE_OGLYCAN33e,0,1000
AGALASE_OGLYCAN34e,0,1000
AGALASE_OGLYCAN35e,0,1000
AGALASE_OGLYCAN36e,0,1000
AGALASE_OGLYCAN37e,0,1000
AGALASE_OGLYCAN38e,0,1000
AGALASE_OGLYCAN39e,0,1000
AGALASE_OGLYCAN3e,0,1000
AGALASE_OGLYCAN40e,0,1000
AGALASE_OGLYCAN41e,0,1000
AGALASE_OGLYCAN42e,0,1000
AGALASE_OGLYCAN43e,0,1000
AGALASE_OGLYCAN44e,0,1000
AGALASE_OGLYCAN45e,0,1000
AGALASE_OGLYCAN46e,0,1000
AGALASE_OGLYCAN47e,0,1000
AGALASE_OGLYCAN48e,0,1000
AGALASE_OGLYCAN49e,0,1000
AGALASE_OGLYCAN4e,0,1000
AGALASE_OGLYCAN50e,0,1000
AGALASE_OGLYCAN51e,0,1000
AGALASE_OGLYCAN52e,0,1000
AGALASE_OGLYCAN53e,0,1000
AGALASE_OGLYCAN54e,0,1000
AGALASE_OGLYCAN55e,0,1000
AGALASE_OGLYCAN56e,0,1000
AGALASE_OGLYCAN57e,0,1000
AGALASE_OGLYCAN58e,0,1000
AGALASE_OGLYCAN59e,0,1000
AGALASE_OGLYCAN5e,0,1000
AGALASE_OGLYCAN60e,0,1000
AGALASE_OGLYCAN61e,0,1000
AGALASE_OGLYCAN62e,0,1000
AGALASE_OGLYCAN63e,0,1000
AGALASE_OGLYCAN64e,0,1000
AGALASE_OGLYCAN65e,0,1000
AGALASE_OGLYCAN66e,0,1000
AGALASE_OGLYCAN67e,0,1000
AGALASE_OGLYCAN68e,0,1000
AGALASE_OGLYCAN69e,0,1000
AGALASE_OGLYCAN6e,0,1000
AGALASE_OGLYCAN70e,0,1000
AGALASE_OGLYCAN71e,0,1000
AGALASE_OGLYCAN72e,0,1000
AGALASE_OGLYCAN73e,0,1000
