"id","name","compartment","is_core","is_boundary","is_external_boundary","is_internal_boundary","primary_class","boundary_subtype"
"ttdca__e","Tetradecanoate (n-C14:0)","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"2hdec9eg3p__c","2-hexadec-9-enoyl-sn-glycerol 3-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"5dglcn__c","5-Dehydro-D-gluconate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cl__c","Chloride","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2oxpaccoa__c","2-oxepin-2(3H)-ylideneacetyl-CoA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"mmcoa____S__c","(S)-Methylmalonyl-CoA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"glyc____R__c","(R)-Glycerate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"mmet__e","S-Methyl-L-methionine","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"dms__c","Dimethyl sulfide","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"g6p__c","D-Glucose 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"N1aspmd__c","N1-Acetylspermidine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"trdrd__c","Reduced thioredoxin","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2dh3dgal__c","2-Dehydro-3-deoxy-D-galactonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"methf__c","5,10-Methenyltetrahydrofolate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ddcaACP__c","Dodecanoyl-ACP (n-C12:0ACP)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"mnl1p__c","D-Mannitol 1-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"agm__c","Agmatine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ala____L__p","L-Alanine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"prpp__c","5-Phospho-alpha-D-ribose 1-diphosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"hkndd__c","2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"galur__p","D-Galacturonate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"all6p__c","D-Allose 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"allul6p__c","Allulose 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"histd__c","L-Histidinol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"for__p","Formate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"orot__c","Orotate C5H3N2O4","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"galt__p","Galactitol","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fecrm__e","Ferrichrome","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"glc____D__p","D-Glucose","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"damp__c","DAMP C10H12N5O6P","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fmn__c","FMN C17H19N4O9P","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"mal____D__e","D-Malate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"3oddcoa__c","3-Oxododecanoyl-CoA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"phe____L__p","L-Phenylalanine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"g3pg__p","Glycerophosphoglycerol","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"tsul__p","Thiosulfate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"trnaglu__c","TRNA (Glu)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ppgpp__c","Guanosine 3',5'-bis(diphosphate)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ins__e","Inosine","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"thm__p","Thiamin","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ethso3__c","Ethanesulfonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"arbtn__fe3__e","Aerobactin","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"q8__c","Ubiquinone-8","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"acgam1p__p","N-Acetyl-D-glucosamine 1-phosphate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"orn__c","Ornithine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cl__e","Chloride","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"stcoa__c","Stearoyl-CoA (n-C18:0CoA)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2ombzl__c","2-Octaprenyl-6-methoxy-1,4-benzoquinol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"murein5px4p__p","Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"gthox__e","Oxidized glutathione","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"damp__p","DAMP C10H12N5O6P","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dcaACP__c","Decanoyl-ACP (n-C10:0ACP)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"3gmp__e","Guanosine 3  phosphate C10H12N5O8P","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
